Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - GND0080,Ordinary Non AC Seater 2+3,00:10,07h 20m,07:30,3.3,INR 468,52 Seats available
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - GRH0126,Ordinary Non AC Seater 2+3,00:31,05h 59m,06:30,3.3,INR 459,52 Seats available
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0080,Ordinary Non AC Seater 2+3,00:35,07h 25m,08:00,3.3,INR 495,52 Seats available
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLP0015,Ordinary Non AC Seater 2+3,00:35,06h 55m,07:30,3.3,INR 468,52 Seats available
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - GND0100,Ordinary Non AC Seater 2+3,01:03,06h 57m,08:00,3.3,INR 454,52 Seats available
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BRH0244,Ordinary Non AC Seater 2+3,01:10,05h 50m,07:00,3.3,INR 468,52 Seats available
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0707,Ordinary Non AC Seater 2+3,04:11,06h 01m,10:12,3.3,INR 499,52 Seats available
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0154,Ordinary Non AC Seater 2+3,06:00,05h 30m,11:30,3.3,INR 448,52 Seats available
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0881,Shatabdi AC Seater 2+2,06:00,05h 00m,11:00,3.3,INR 648,36 Seats available
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0156,Ordinary Non AC Seater 2+3,07:00,05h 30m,12:30,3.3,INR 492,52 Seats available
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0150,Janrath AC Seater 2+2,07:05,04h 40m,11:45,3.1,INR 648,36 Seats available
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0145,Rajdhani Non AC Seater 2+3,07:30,05h 00m,12:30,3.3,INR 492,52 Seats available
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0052,Ordinary Non AC Seater 2+3,08:00,05h 30m,13:30,3.3,INR 448,52 Seats available
